order_id,order_date,customer_id,region,channel,category,quantity,unit_price,discount_rate,revenue,delivery_days
ORD-0025,2025-01-25,00074,South,Partner,Electronics,8,39.50,0.15,268.60,4
ORD-0026,2025-01-26,00013,North,Partner,Electronics,8,129.00,0.00,1032.00,6
ORD-0027,2025-01-27,00087,North,Partner,Accessories,7,129.00,0.10,812.70,1
ORD-0028,2025-01-28,00025,South,Online,Electronics,7,79.00,0.00,553.00,3
ORD-0029,2025-01-29,00032,West,Online,Electronics,7,39.50,0.05,262.68,
ORD-0030,2025-01-30,00012,North,Online,Office,2,19.99,0.15,33.98,7
ORD-0031,2025-01-31,00008,West,,Electronics,8,129.00,0.00,1032.00,1
ORD-0032,2025-02-01,00055,East,Partner,Electronics,7,79.00,0.10,497.70,3
ORD-0033,2025-02-02,00075,North,Partner,Accessories,4,79.00,0.00,316.00,6
ORD-0034,2025-02-03,00065, west ,Partner,Office,1,19.99,0.15,16.99,1
ORD-0035,2025-02-04,00087,North,Online,Electronics,2,39.50,0.00,79.00,2
ORD-0036,2025-02-05,00054,North,Partner,Home,4,19.99,0.15,67.97,5
ORD-0037,2025-02-06,00051,East,Online,Home,4,79.00,0.00,316.00,8
ORD-0038,2025-02-07,00080,West,Partner,Accessories,6,19.99,0.00,119.94,2
ORD-0039,2025-02-08,00009,East,Online,Home,4,79.00,0.00,316.00,5
ORD-0040,2025-02-09,00079,East,Partner,Accessories,3,129.00,0.15,328.95,9
ORD-0041,2025-02-10,00015,East,Online,Office,5,19.99,0.00,99.95,5
ORD-0042,2025-02-11,00088,South,Partner,Home,5,39.50,0.05,187.62,9
ORD-0043,2025-02-12,00082,North,Store,Home,8,79.00,0.00,632.00,1
ORD-0044,2025-02-13,00021,East,Partner,Electronics,1,79.00,0.00,79.00,9
ORD-0045,2025-02-14,00089,North,Online,Accessories,7,19.99,0.00,139.93,6
ORD-0046,2025-02-15,00040,North,Store,Accessories,3,$129.00,0.00,387.00,6
ORD-0047,2025-02-16,00072,East,Store,Office,4,39.50,0.00,158.00,4
ORD-0048,2025-02-17,00023,North,Partner,Home,3,39.50,0.10,106.65,7
ORD-0049,2025-02-18,00049,North,Online,Electronics,4,79.00,0.00,316.00,4
ORD-0050,2025-02-19,00030,East,Online,Accessories,4,129.00,0.05,490.20,4
ORD-0051,2025-02-20,00036, north ,Store,Electronics,7,79.00,0.05,525.35,9
ORD-0052,2025-02-21,00023,East,Partner,Home,6,19.99,0.00,119.94,1
ORD-0053,2025-02-22,00056,East,Partner,Accessories,2,129.00,0.05,245.10,7
ORD-0054,2025-02-23,00001,West,Partner,Office,4,79.00,0.00,316.00,6
ORD-0055,2025-02-24,00085,East,Online,Home,7,19.99,0.05,132.93,9
ORD-0056,2025-02-25,00090,West,Store,Office,5,129.00,0.05,612.75,4
ORD-0057,2025-02-26,00052,East,Partner,Accessories,7,129.00,0.00,903.00,5
ORD-0058,2025-02-27,00060,East,Store,Electronics,5,39.50,0.10,177.75,
ORD-0059,2025-02-28,00066,East,Partner,Home,8,39.50,0.00,316.00,2
ORD-0060,2025-03-01,00019,South,Online,Accessories,4,79.00,0.00,316.00,4
ORD-0061,2025-03-02,00081,West,Partner,Office,8,19.99,0.10,143.93,7
ORD-0062,2025-03-03,00084,South,,Accessories,8,129.00,0.00,1032.00,2
ORD-0063,2025-03-04,00007,West,Partner,Office,7,39.50,0.00,276.50,2
ORD-0064,2025-03-05,00057,East,Partner,Electronics,8,39.50,0.10,284.40,9
ORD-0065,2025-03-06,00034,West,Online,Home,8,39.50,0.10,284.40,9
ORD-0066,2025-03-07,00010,West,Partner,Home,8,39.50,0.05,300.20,4
ORD-0067,2025-03-08,00018,North,Online,Office,5,79.00,0.05,375.25,7
ORD-0068,2025-03-09,00053, west ,Store,Electronics,3,39.50,0.00,118.50,7
ORD-0069,2025-03-10,00075,West,Partner,Accessories,1,$39.50,0.10,35.55,10
ORD-0070,2025-03-11,00039,East,Store,Electronics,7,129.00,0.00,903.00,9
ORD-0071,2025-03-12,00056,East,Store,Accessories,4,129.00,0.00,516.00,7
ORD-0072,2025-03-13,00017,West,Partner,Accessories,6,129.00,0.00,774.00,7
ORD-0073,2025-03-14,00060,South,Online,Accessories,1,19.99,0.10,17.99,5
ORD-0074,2025-03-15,00042,West,Store,Electronics,7,79.00,0.00,553.00,5
ORD-0075,2025-03-16,00003,West,Partner,Accessories,7,79.00,0.00,553.00,6
ORD-0076,2025-03-17,00032,North,Online,Accessories,4,19.99,0.00,79.96,10
ORD-0077,2025-03-18,00086,West,Online,Office,3,39.50,0.00,118.50,8
ORD-0078,2025-03-19,00021,North,Store,Accessories,5,79.00,0.00,395.00,10
ORD-0079,2025-03-20,00051,West,Partner,Office,1,79.00,0.15,67.15,2
ORD-0080,2025-03-21,00073,North,Online,Home,4,19.99,0.05,75.96,9
ORD-0081,2025-03-22,00002,East,Store,Electronics,7,79.00,0.00,553.00,2
ORD-0082,2025-03-23,00056,South,Online,Home,7,79.00,0.10,497.70,10
ORD-0083,2025-03-24,00042,East,Online,Accessories,8,129.00,0.10,928.80,5
ORD-0084,2025-03-25,00044,West,Online,Electronics,8,39.50,0.10,284.40,6
ORD-0085,2025-03-26,00034, east ,Store,Home,3,129.00,0.00,387.00,10
ORD-0086,2025-03-27,00011,South,Online,Electronics,5,19.99,0.15,84.96,8
ORD-0087,2025-03-28,00003,West,Online,Home,4,129.00,0.10,464.40,
ORD-0088,2025-03-29,00061,East,Partner,Home,7,39.50,0.05,262.68,7
ORD-0089,2025-03-30,00040,East,Store,Office,6,79.00,0.10,426.60,2
ORD-0090,2025-03-31,00025,South,Online,Electronics,4,79.00,0.00,316.00,5
ORD-0091,2025-04-01,00030,East,Store,Office,5,19.99,0.00,99.95,5
ORD-0092,2025-04-02,00007,North,Partner,Home,1,$39.50,0.05,37.52,3
ORD-0093,2025-04-03,00061,East,,Electronics,8,19.99,0.00,159.92,6
ORD-0094,2025-04-04,00015,West,Online,Electronics,3,19.99,0.05,56.97,8
ORD-0095,2025-04-05,00073,South,Store,Accessories,2,19.99,0.00,39.98,4
ORD-0096,2025-04-06,00067,South,Store,Electronics,2,129.00,0.15,219.30,8
ORD-0097,2025-04-07,00079,North,Partner,Accessories,5,129.00,0.05,612.75,4
ORD-0098,2025-04-08,00031,South,Online,Accessories,4,79.00,0.00,316.00,3
ORD-0099,2025-04-09,00038,West,Online,Office,1,129.00,0.10,116.10,5
ORD-0100,2025-04-10,00034,South,Partner,Office,5,129.00,0.00,645.00,7
ORD-0101,2025-04-11,00019,East,Online,Accessories,2,39.50,0.00,79.00,3
ORD-0102,2025-04-12,00060, north ,Partner,Home,5,79.00,0.10,355.50,7
ORD-0103,2025-04-13,00077,North,Online,Electronics,5,129.00,0.10,580.50,6
ORD-0104,2025-04-14,00087,South,Partner,Accessories,5,19.99,0.00,99.95,5
ORD-0105,2025-04-15,00036,West,Online,Electronics,1,39.50,0.10,35.55,8
ORD-0106,2025-04-16,00043,West,Store,Accessories,2,129.00,0.05,245.10,3
ORD-0107,2025-04-17,00085,East,Store,Accessories,6,129.00,0.10,696.60,8
ORD-0108,2025-04-18,00015,East,Store,Accessories,2,79.00,0.05,150.10,9
ORD-0109,2025-04-19,00067,South,Store,Electronics,8,129.00,0.00,1032.00,8
ORD-0110,2025-04-20,00037,South,Store,Electronics,1,39.50,0.05,37.52,2
ORD-0111,2025-04-21,00071,East,Online,Electronics,1,39.50,0.00,39.50,2
ORD-0112,2025-04-22,00083,North,Online,Electronics,4,19.99,0.10,71.96,5
ORD-0113,2025-04-23,00032,West,Store,Office,5,129.00,0.10,580.50,7
ORD-0114,2025-04-24,00054,East,Store,Home,4,39.50,0.00,158.00,1
ORD-0115,2025-04-25,00020,West,Store,Electronics,5,$79.00,0.15,335.75,6
ORD-0116,2025-04-26,00025,East,Partner,Office,6,129.00,0.10,696.60,
ORD-0117,2025-04-27,00041,North,Partner,Electronics,7,39.50,0.10,248.85,7
ORD-0118,2025-04-28,00017,North,Partner,Home,7,39.50,0.10,248.85,2
ORD-0119,2025-04-29,00002, west ,Partner,Office,8,19.99,0.15,135.93,7
ORD-0120,2025-04-30,00044,East,Partner,Electronics,3,19.99,0.10,53.97,2
ORD-0121,2025-05-01,00070,West,Online,Accessories,6,129.00,0.05,735.30,4
ORD-0122,2025-05-02,00013,West,Partner,Accessories,5,39.50,0.00,197.50,8
ORD-0123,2025-05-03,00042,North,Online,Home,3,79.00,0.00,237.00,6
ORD-0124,2025-05-04,00068,South,,Office,6,129.00,0.00,774.00,3
ORD-0125,2025-05-05,00080,West,Partner,Office,3,19.99,0.15,50.97,8
ORD-0126,2025-05-06,00059,East,Store,Accessories,3,39.50,0.10,106.65,8
ORD-0127,2025-05-07,00045,West,Partner,Home,5,39.50,0.00,197.50,7
ORD-0128,2025-05-08,00050,South,Store,Accessories,5,129.00,0.05,612.75,4
ORD-0129,2025-05-09,00090,East,Store,Accessories,7,79.00,0.15,470.05,7
ORD-0130,2025-05-10,00078,North,Partner,Electronics,5,19.99,0.15,84.96,5
ORD-0131,2025-05-11,00080,South,Store,Office,4,79.00,0.00,316.00,2
ORD-0132,2025-05-12,00075,North,Store,Office,1,79.00,0.10,71.10,2
ORD-0133,2025-05-13,00026,South,Online,Home,5,79.00,0.10,355.50,9
ORD-0134,2025-05-14,00038,West,Partner,Home,5,39.50,0.05,187.62,2
ORD-0135,2025-05-15,00087,South,Partner,Electronics,8,19.99,0.00,159.92,9
ORD-0136,2025-05-16,00034, north ,Partner,Accessories,6,19.99,0.10,107.95,8
ORD-0137,2025-05-17,00082,West,Store,Accessories,6,79.00,0.15,402.90,4
ORD-0138,2025-05-18,00079,East,Online,Accessories,8,$19.99,0.15,135.93,8
ORD-0139,2025-05-19,00006,South,Online,Home,5,129.00,0.00,645.00,8
ORD-0140,2025-05-20,00050,South,Store,Home,2,19.99,0.00,39.98,9
ORD-0141,2025-05-21,00063,North,Partner,Electronics,7,39.50,0.10,248.85,5
ORD-0142,2025-05-22,00057,West,Online,Home,1,79.00,0.00,79.00,2
ORD-0143,2025-05-23,00036,West,Online,Accessories,6,79.00,0.00,474.00,8
ORD-0144,2025-05-24,00007,North,Store,Office,2,39.50,0.15,67.15,3
ORD-0145,2025-05-25,00076,South,Online,Office,4,19.99,0.15,67.97,
ORD-0146,2025-05-26,00017,South,Partner,Home,3,19.99,0.05,56.97,3
ORD-0147,2025-05-27,00046,North,Online,Home,2,19.99,0.00,39.98,1
ORD-0148,2025-05-28,00054,South,Partner,Accessories,3,79.00,0.00,237.00,2
ORD-0149,2025-05-29,00058,North,Partner,Office,8,129.00,0.05,980.40,10
ORD-0150,2025-05-30,00008,North,Store,Electronics,1,79.00,0.10,71.10,7
ORD-0151,2025-05-31,00011,North,Store,Office,2,129.00,0.10,232.20,2
ORD-0152,2025-06-01,00049,East,Partner,Home,3,79.00,0.15,201.45,8
ORD-0153,2025-06-02,00056, south ,Store,Office,7,19.99,0.00,139.93,7
ORD-0154,2025-06-03,00013,West,Store,Electronics,6,129.00,0.10,696.60,6
ORD-0155,2025-06-04,00009,West,,Accessories,5,79.00,0.00,395.00,2
ORD-0156,2025-06-05,00072,South,Online,Home,7,19.99,0.05,132.93,2
ORD-0157,2025-06-06,00037,North,Partner,Home,7,79.00,0.10,497.70,6
ORD-0158,2025-06-07,00029,West,Online,Home,2,39.50,0.00,79.00,9
ORD-0159,2025-06-08,00055,South,Partner,Accessories,6,19.99,0.05,113.94,10
ORD-0160,2025-06-09,00090,East,Store,Home,5,19.99,0.00,99.95,6
ORD-0161,2025-06-10,00009,West,Online,Accessories,1,$39.50,0.00,39.50,2
ORD-0162,2025-06-11,00044,West,Online,Home,4,129.00,0.10,464.40,5
ORD-0163,2025-06-12,00021,South,Partner,Accessories,6,19.99,0.00,119.94,2
ORD-0164,2025-06-13,00078,West,Store,Electronics,5,129.00,0.10,580.50,5
ORD-0165,2025-06-14,00015,West,Store,Electronics,4,19.99,0.05,75.96,9
ORD-0166,2025-06-15,00077,West,Online,Accessories,5,19.99,0.00,99.95,4
ORD-0167,2025-06-16,00038,East,Store,Accessories,5,39.50,0.00,197.50,1
ORD-0168,2025-06-17,00049,South,Partner,Office,8,129.00,0.00,1032.00,9
ORD-0169,2025-06-18,00056,North,Online,Electronics,6,19.99,0.10,107.95,2
ORD-0170,2025-06-19,00082, west ,Store,Home,6,129.00,0.15,657.90,2
ORD-0171,2025-06-20,00080,South,Store,Home,7,19.99,0.05,132.93,2
ORD-0172,2025-06-21,00076,West,Store,Accessories,7,19.99,0.00,139.93,7
ORD-0173,2025-06-22,00022,East,Online,Accessories,5,79.00,0.00,395.00,9
ORD-0174,2025-06-23,00031,South,Online,Office,4,79.00,0.05,300.20,
ORD-0175,2025-06-24,00084,South,Online,Office,4,39.50,0.15,134.30,8
ORD-0176,2025-06-25,00081,East,Store,Office,8,129.00,0.15,877.20,8
ORD-0177,2025-06-26,00036,East,Partner,Accessories,2,129.00,0.10,232.20,6
ORD-0178,2025-06-27,00005,West,Online,Home,2,79.00,0.10,142.20,5
ORD-0179,2025-06-28,00060,West,Partner,Accessories,2,19.99,0.15,33.98,8
ORD-0180,2025-06-29,00065,West,Online,Accessories,4,79.00,0.15,268.60,8
ORD-0181,2025-01-01,00006,South,Online,Electronics,2,79.00,0.00,158.00,8
ORD-0182,2025-01-02,00050,East,Store,Home,3,79.00,0.05,225.15,10
ORD-0183,2025-01-03,00013,East,Partner,Electronics,1,79.00,0.00,79.00,5
ORD-0184,2025-01-04,00075,North,Partner,Office,5,$39.50,0.05,187.62,6
ORD-0185,2025-01-05,00040,North,Partner,Electronics,5,129.00,0.00,645.00,6
ORD-0186,2025-01-06,00003,East,,Home,3,19.99,0.10,53.97,3
ORD-0187,2025-01-07,00029, south ,Online,Office,4,79.00,0.10,284.40,2
ORD-0188,2025-01-08,00085,North,Store,Office,5,19.99,0.15,84.96,10
ORD-0189,2025-01-09,00089,South,Partner,Office,7,39.50,0.00,276.50,8
ORD-0190,2025-01-10,00057,South,Partner,Home,1,129.00,0.05,122.55,8
ORD-0191,2025-01-11,00025,West,Store,Electronics,4,39.50,0.05,150.10,8
ORD-0192,2025-01-12,00021,West,Online,Office,5,129.00,0.15,548.25,5
ORD-0193,2025-01-13,00067,North,Online,Home,1,129.00,0.05,122.55,2
ORD-0194,2025-01-14,00056,South,Online,Office,3,79.00,0.10,213.30,8
ORD-0195,2025-01-15,00051,North,Partner,Home,6,19.99,0.10,107.95,4
ORD-0196,2025-01-16,00004,South,Store,Accessories,7,19.99,0.05,132.93,6
ORD-0197,2025-01-17,00061,East,Partner,Office,3,39.50,0.00,118.50,8
ORD-0198,2025-01-18,00033,North,Online,Office,8,19.99,0.00,159.92,9
ORD-0199,2025-01-19,00039,South,Online,Accessories,7,19.99,0.05,132.93,4
ORD-0200,2025-01-20,00064,North,Partner,Accessories,7,129.00,0.00,903.00,9
ORD-0201,2025-01-21,00001,West,Partner,Home,4,39.50,0.05,150.10,4
ORD-0202,2025-01-22,00009,East,Partner,Accessories,7,39.50,0.00,276.50,7
ORD-0203,2025-01-23,00033,East,Partner,Accessories,8,19.99,0.10,143.93,
ORD-0204,2025-01-24,00075, north ,Partner,Home,2,79.00,0.00,158.00,3
ORD-0205,2025-01-25,00083,East,Online,Electronics,1,79.00,0.15,67.15,8
ORD-0206,2025-01-26,00005,West,Store,Office,3,39.50,0.00,118.50,1
ORD-0207,2025-01-27,00066,East,Store,Electronics,4,$19.99,0.05,75.96,5
ORD-0208,2025-01-28,00007,East,Partner,Home,1,39.50,0.05,37.52,5
ORD-0209,2025-01-29,00057,West,Store,Home,2,79.00,0.10,142.20,3
ORD-0210,2025-01-30,00011,East,Partner,Electronics,8,129.00,0.05,980.40,2
ORD-0211,2025-01-31,00042,East,Online,Accessories,7,39.50,0.15,235.03,6
ORD-0212,2025-02-01,00022,West,Partner,Electronics,5,79.00,0.10,355.50,6
ORD-0213,2025-02-02,00036,West,Partner,Accessories,8,19.99,0.05,151.92,2
ORD-0214,2025-02-03,00004,South,Online,Electronics,7,79.00,0.15,470.05,1
ORD-0215,2025-02-04,00047,East,Store,Accessories,3,19.99,0.00,59.97,10
ORD-0216,2025-02-05,00057,East,Online,Office,3,129.00,0.05,367.65,9
ORD-0217,2025-02-06,00032,East,,Accessories,6,129.00,0.05,735.30,3
ORD-0218,2025-02-07,00034,North,Store,Electronics,8,129.00,0.15,877.20,4
ORD-0219,2025-02-08,00018,North,Online,Electronics,5,129.00,0.00,645.00,3
ORD-0220,2025-02-09,00009,East,Partner,Home,8,19.99,0.05,151.92,5
ORD-0221,2025-02-10,00016, south ,Online,Office,3,39.50,0.05,112.57,4
ORD-0222,2025-02-11,00060,East,Partner,Office,8,19.99,0.05,151.92,10
ORD-0223,2025-02-12,00062,West,Partner,Electronics,2,19.99,0.05,37.98,7
ORD-0224,2025-02-13,00058,North,Store,Home,2,39.50,0.05,75.05,3
ORD-0225,2025-02-14,00016,North,Partner,Office,3,39.50,0.10,106.65,5
ORD-0226,2025-02-15,00045,South,Partner,Home,3,39.50,0.05,112.57,2
ORD-0227,2025-02-16,00017,East,Partner,Home,5,39.50,0.15,167.88,10
ORD-0228,2025-02-17,00022,South,Partner,Home,2,39.50,0.15,67.15,10
ORD-0229,2025-02-18,00083,North,Partner,Home,1,19.99,0.00,19.99,4
ORD-0230,2025-02-19,00083,East,Store,Electronics,7,$19.99,0.10,125.94,4
ORD-0231,2025-02-20,00089,North,Online,Office,7,79.00,0.10,497.70,8
ORD-0232,2025-02-21,00044,South,Partner,Office,7,129.00,0.10,812.70,
ORD-0233,2025-02-22,00048,South,Partner,Accessories,6,79.00,0.10,426.60,6
ORD-0234,2025-02-23,00058,East,Online,Office,4,129.00,0.00,516.00,2
ORD-0235,2025-02-24,00032,West,Online,Home,1,79.00,0.10,71.10,10
ORD-0236,2025-02-25,00066,West,Store,Electronics,6,39.50,0.00,237.00,5
ORD-0237,2025-02-26,00065,West,Store,Office,8,19.99,0.00,159.92,4
ORD-0238,2025-02-27,00064, east ,Partner,Electronics,6,19.99,0.00,119.94,5
ORD-0239,2025-02-28,00034,South,Partner,Home,1,19.99,0.10,17.99,7
ORD-0240,2025-03-01,00073,North,Partner,Office,6,19.99,0.10,107.95,6
ORD-0010,2025-01-10,00088,South,Store,Accessories,8,129.00,0.05,980.40,4
ORD-0050,2025-02-19,00030,East,Online,Accessories,4,129.00,0.05,490.20,4
ORD-0090,2025-03-31,00025,South,Online,Electronics,4,79.00,0.00,316.00,5
ORD-0130,2025-05-10,00078,North,Partner,Electronics,5,19.99,0.15,84.96,5
ORD-0170,2025-06-19,00082, west ,Store,Home,6,129.00,0.15,657.90,2
